idCell,specId,TableOrder,Content,concepts,semanticTypes
76124,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    absorption, which may result in hypothyroidism
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C0000854, C2347023, C2347080, C2698776, C2825050, C1274040, C1546471, C2825142, C0020676","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Natural Phenomenon or Process (npop), Phenomenon or Process (phpr), Phenomenon or Process (phpr), Biomedical Occupation or Discipline (bmod), Phenomenon or Process (phpr), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn)"
76125,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    absorption, which may result in hypothyroidism
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C0000854, C2347023, C2347080, C2698776, C2825050, C1274040, C1546471, C2825142, C0020676","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Natural Phenomenon or Process (npop), Phenomenon or Process (phpr), Phenomenon or Process (phpr), Biomedical Occupation or Discipline (bmod), Phenomenon or Process (phpr), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn)"
76126,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    absorption, which may result in hypothyroidism
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C0000854, C2347023, C2347080, C2698776, C2825050, C1274040, C1546471, C2825142, C0020676","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Natural Phenomenon or Process (npop), Phenomenon or Process (phpr), Phenomenon or Process (phpr), Biomedical Occupation or Discipline (bmod), Phenomenon or Process (phpr), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn)"
76127,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate
                                 ","C0003138, C0002367, C2348254, C0024476, C0001128, C0202406, C0008402, C0678640, C4019011","Pharmacologic Substance (phsu), Element, Ion, or Isotope (elii), Inorganic Chemical (inch), Inorganic Chemical (inch), Chemical (chem), Laboratory Procedure (lbpr), Organic Chemical (orch), Social Behavior (socb), Clinical Attribute (clna)"
76128,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate
                                 ","C0003138, C0002367, C2348254, C0024476, C0001128, C0202406, C0008402, C0678640, C4019011","Pharmacologic Substance (phsu), Element, Ion, or Isotope (elii), Inorganic Chemical (inch), Inorganic Chemical (inch), Chemical (chem), Laboratory Procedure (lbpr), Organic Chemical (orch), Social Behavior (socb), Clinical Attribute (clna)"
76129,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate
                                 ","C0003138, C0002367, C2348254, C0024476, C0001128, C0202406, C0008402, C0678640, C4019011","Pharmacologic Substance (phsu), Element, Ion, or Isotope (elii), Inorganic Chemical (inch), Inorganic Chemical (inch), Chemical (chem), Laboratory Procedure (lbpr), Organic Chemical (orch), Social Behavior (socb), Clinical Attribute (clna)"
76130,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism. Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex. Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.","C0205420, C0042153, C0457083, C1947944, C1280519, C1707887, C0040165, C1881373, C1145667, C1167622, C0205421, C0309872, C0000854, C2347023, C2347080, C2698776, C2825050, C0678226, C0020676, C0348078, C0376315, C1522492, C0040165, C1881373, C0332148, C0750492, C0348078, C0376315, C1522492, C2346593, C0040165, C0439855, C1704241, C1621583, C0040165, C1881373, C0439092, C0547044, C0439227, C0450442, C1254351, C1521826, C0030705, C1522326, C0076275, C0040165, C1881373, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0392747, C0443172, C0006681, C0060282, C2242456","Temporal Concept (tmco), Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Qualitative Concept (qlco), Research Activity (resa), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Activity (acty), Molecular Function (moft), Temporal Concept (tmco), Pharmacologic Substance (phsu), Natural Phenomenon or Process (npop), Phenomenon or Process (phpr), Phenomenon or Process (phpr), Biomedical Occupation or Discipline (bmod), Phenomenon or Process (phpr), Functional Concept (ftcn), Disease or Syndrome (dsyn), Qualitative Concept (qlco), Manufactured Object (mnob), Functional Concept (ftcn), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Qualitative Concept (qlco), Idea or Concept (idcn), Qualitative Concept (qlco), Manufactured Object (mnob), Functional Concept (ftcn), Element, Ion, or Isotope (elii), Amino Acid, Peptide, or Protein (aapp), Qualitative Concept (qlco), Chemical Viewed Structurally (chvs), Functional Concept (ftcn), Amino Acid, Peptide, "
76135,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may increase serum TBG concentration
                                    
                                 ","C0013227, C3687832, C0442805, C0683149, C3814864, C0004268, C0086045, C1446561, C1420598","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Gene or Genome (gngm)"
76136,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may increase serum TBG concentration
                                    
                                 ","C0013227, C3687832, C0442805, C0683149, C3814864, C0004268, C0086045, C1446561, C1420598","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Gene or Genome (gngm)"
76137,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may increase serum TBG concentration
                                    
                                 ","C0013227, C3687832, C0442805, C0683149, C3814864, C0004268, C0086045, C1446561, C1420598","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Gene or Genome (gngm)"
76139,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen","C0332256, C2700400, C0442027, C0442027, C0011892","Functional Concept (ftcn), Activity (acty), Spatial Concept (spco), Spatial Concept (spco), Hazardous or Poisonous Substance (hops)"
76140,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen","C0332256, C2700400, C0442027, C0442027, C0011892","Functional Concept (ftcn), Activity (acty), Spatial Concept (spco), Spatial Concept (spco), Hazardous or Poisonous Substance (hops)"
76141,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen","C0332256, C2700400, C0442027, C0442027, C0011892","Functional Concept (ftcn), Activity (acty), Spatial Concept (spco), Spatial Concept (spco), Hazardous or Poisonous Substance (hops)"
76142,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Androgens / Anabolic SteroidsAsparaginaseGlucocorticoidsSlow-Release Nicotinic Acid","C0002844, C0002744, C0030685, C0391871, C0439180, C0680255, C1283071, C1963578, C0027996, C0028049, C3536880, C3714626","Hormone (horm), Organic Chemical (orch), Health Care Activity (hlca), Functional Concept (ftcn), Quantitative Concept (qnco), Health Care Activity (hlca), Functional Concept (ftcn), Therapeutic or Preventive Procedure (topp), Organic Chemical (orch), Organic Chemical (orch), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
76143,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
76144,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
76145,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
76146,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
76147,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)","C0016860, C0450371, C0026410, C0439269, C1960952, C2346927, C0022326, C0260264, C1955898, C3542931, C0439417","Organic Chemical (orch), Organism Attribute (orga), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Geographic Area (geoa), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Quantitative Concept (qnco)"
76148,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)","C0016860, C0450371, C0026410, C0439269, C1960952, C2346927, C0022326, C0260264, C1955898, C3542931, C0439417","Organic Chemical (orch), Organism Attribute (orga), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Geographic Area (geoa), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Quantitative Concept (qnco)"
76149,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)","C0016860, C0450371, C0026410, C0439269, C1960952, C2346927, C0022326, C0260264, C1955898, C3542931, C0439417","Organic Chemical (orch), Organism Attribute (orga), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Geographic Area (geoa), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Quantitative Concept (qnco)"
76150,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.","C0001554, C1533734, C0450442, C1254351, C1521826, C0040165, C1881373, C1274040, C1546471, C2825142, C0205265, C1279901, C1555582, C1705685, C0040704, C0205374, C0442805, C3147341, C0549178, C0001554, C1533734, C1274040, C1546471, C2825142, C0392756, C0547047, C0229671, C1546774, C1550100, C0041403, C0205307, C0439166, C2347086, C3147341, C0086045, C0030705, C0117002, C0036077, C0018790, C0028778, C0233660, C0237477, C0332206, C0392351, C0521111, C1533157, C1706084, C2828370, C3811660, C1145667, C1167622, C0041403, C0041403, C3814864, C0032923, C0337441, C1421224, C0205265, C1279901, C1555582, C1705685, C0442805, C0229671, C1546774, C1550100, C3147341, C0332283, C0332156, C3147341, C0205307, C0439166, C2347086, C0441889, C0443318, C0087111, C0302350, C0683149, C0036075, C0036077, C0439175, C0041403, C0439810, C0441889, C0392756, C0547047, C0205393, C0450371","Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Chemical Viewed Functionally (chvf), Pharmacologic Substance (phsu), Intellectual Product (inpr), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Temporal Concept (tmco), Qualitative Concept (qlco), Idea or Concept (idcn), Functional Concept (ftcn), Population Group (popg), Temporal Concept (tmco), Functional Concept (ftcn), Gene or Genome (gngm), Idea or Concept (idcn), Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Qualitative Concept (qlco), Quantitative Concept (qnco), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Geographic Area (geoa), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Patient or Disabled Group (podg), Finding (fndg), Organic Chemi"
76162,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Stimulation of hepatic microsomal drug-metabolizing enzyme activity may cause increased hepatic degradation of levothyroxine, resulting in increased Ievothyroxine requirements. Phenytoin and carbamazepine reduce serum protein binding of levothyroxine, and total- and free-T4 may be reduced by 20% to 40%, but most patients have normal serum TSH levels and are clinically euthyroid.","C1292856, C1948023, C0428321, C0205054, C1979928, C0013227, C1254351, C0205177, C0439167, C0441655, C1561536, C3668946, C0015127, C1524003, C0205217, C0442805, C0205054, C0243125, C0699900, C0040165, C1881373, C0678226, C0520917, C0031507, C0006949, C0682993, C0229671, C1546774, C1550100, C1145667, C1167622, C0040165, C1881373, C0439175, C0439810, C0332296, C0041403, C1880497, C1996904, C0392756, C0450371, C0450371, C0030705, C0205307, C0439166, C2347086, C0117002, C0243102, C0036825, C0229671, C1546774, C1550100, C0033618, C1277938","Therapeutic or Preventive Procedure (topp), Natural Phenomenon or Process (npop), Laboratory Procedure (lbpr), Body Location or Region (blor), Qualitative Concept (qlco), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Functional Concept (ftcn), Quantitative Concept (qnco), Activity (acty), Idea or Concept (idcn), Finding (fndg), Functional Concept (ftcn), Conceptual Entity (cnce), Quantitative Concept (qnco), Functional Concept (ftcn), Body Location or Region (blor), Functional Concept (ftcn), Organism Function (orgf), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Functional Concept (ftcn), Pathologic Function (patf), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Activity (acty), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Quantitative Concept (qnco), Qualitative Concept (qlco), Functional Concept (ftcn), Geographic Area (ge"
76163,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
76164,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
76165,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
76166,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
76167,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0033497, C0017710, C3540777, C3540778, C0033511, C0242889, C2757018, C1442061, C1442442, C1608330, C0439422, C0011777, C0439422","Organic Chemical (orch), Hormone (horm), Hormone (horm), Organic Chemical (orch), Nucleic Acid, Nucleoside, or Nucleotide (nnon), Pharmacologic Substance (phsu), Molecular Function (moft), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organic Chemical (orch), Quantitative Concept (qnco)"
76168,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0033497, C0017710, C3540777, C3540778, C0033511, C0242889, C2757018, C1442061, C1442442, C1608330, C0439422, C0011777, C0439422","Organic Chemical (orch), Hormone (horm), Hormone (horm), Organic Chemical (orch), Nucleic Acid, Nucleoside, or Nucleotide (nnon), Pharmacologic Substance (phsu), Molecular Function (moft), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organic Chemical (orch), Quantitative Concept (qnco)"
76169,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0033497, C0017710, C3540777, C3540778, C0033511, C0242889, C2757018, C1442061, C1442442, C1608330, C0439422, C0011777, C0439422","Organic Chemical (orch), Hormone (horm), Hormone (horm), Organic Chemical (orch), Nucleic Acid, Nucleoside, or Nucleotide (nnon), Pharmacologic Substance (phsu), Molecular Function (moft), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organic Chemical (orch), Quantitative Concept (qnco)"
76170,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).","C0001554, C1533734, C0392756, C0547047, C0205100, C0439836, C0041403, C0041403, C0332152, C1522538, C0205216, C0392756, C0442797, C0041403, C0441889, C0229671, C1546774, C1550100, C0041403, C0441889, C3538928, C3888388, C0205307, C0439166, C2347086, C1998882, C0750482, C2937276, C0205217, C0442805, C0030705, C1522326, C0549177, C0178602, C0033497, C0014432, C1152555, C2756995, C1442061, C1442442, C1608330, C0439422, C0041403, C0041403, C0441889, C0392747, C0443172, C1705241, C0750482, C2937276, C0202230, C0205307, C0439166, C2347086, C0030705, C0117002, C1316572, C1317574, C0441472, C0001645, C0178504, C2757061, C0221099, C0020676, C0030705, C2360836, C2360838, C2360840, C0117002, C1301808, C1442792, C3148680, C0443303, C0001554, C1533734, C0549177, C0178602, C0017710, C3540777, C3540778, C0392756, C0547047, C0683149, C0041403, C0450371, C3845594, C0229671, C1546774, C1550100, C0041403, C0441889, C0443252, C0744425, C1274040, C1546471, C2825142, C0750482, C2937276, C0205216, C0392756, C0442797, C0041403, C004","Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Spatial Concept (spco), Functional Concept (ftcn), Geographic Area (geoa), Geographic Area (geoa), Temporal Concept (tmco), Functional Concept (ftcn), Quantitative Concept (qnco), Qualitative Concept (qlco), Qualitative Concept (qlco), Geographic Area (geoa), Qualitative Concept (qlco), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Geographic Area (geoa), Qualitative Concept (qlco), Qualitative Concept (qlco), Intellectual Product (inpr), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Temporal Concept (tmco), Qualitative Concept (qlco), Qualitative Concept (qlco), Quantitative Concept (qnco), Functional Concept (ftcn), Patient or Disabled Group (podg), Functional Concept (ftcn), Quantitative Concept (qnco), Quantitative Concept (qnco), Organic Chemical (orch), Pharmacologic Substance (phsu), Molecular Function (mo"
76171,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
76172,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
76173,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
76174,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
76175,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives","C0003280, C0442027, C0010207","Pharmacologic Substance (phsu), Spatial Concept (spco), Organic Chemical (orch)"
76176,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives","C0003280, C0442027, C0010207","Pharmacologic Substance (phsu), Spatial Concept (spco), Organic Chemical (orch)"
76177,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives","C0003280, C0442027, C0010207","Pharmacologic Substance (phsu), Spatial Concept (spco), Organic Chemical (orch)"
76178,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Thyroid hormones appear to increase the catabolism of vitamin K-dependent clotting factors, thereby increasing the anticoagulant activity of oral anticoagulants. Concomitant use of these agents impairs the compensatory increases in clotting factor synthesis. Prothrombin time should be carefully monitored in patients taking levothyroxine and oral anticoagulants and the dose of anticoagulant therapy adjusted accordingly.","C0700364, C0040363, C0041260, C1883351, C0442805, C0543484, C0699900, C1516314, C0851827, C1701901, C3244310, C0442808, C0521115, C0042153, C0457083, C1947944, C0450442, C1254351, C1521826, C0231186, C0205217, C0442805, C0220781, C1883254, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0030705, C1515187, C0040165, C1881373, C0178602, C0869039, C1114758, C0456081, C0040135, C0042878, C2936884, C3541380, C3714648, C0005789, C1148561, C0354604, C0005789, C0033707, C0482694, C0354604, C0150457","Qualitative Concept (qlco), Geographic Area (geoa), Amino Acid, Peptide, or Protein (aapp), Qualitative Concept (qlco), Functional Concept (ftcn), Functional Concept (ftcn), Organism Function (orgf), Physiologic Function (phsf), Qualitative Concept (qlco), Qualitative Concept (qlco), Functional Concept (ftcn), Functional Concept (ftcn), Temporal Concept (tmco), Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Chemical Viewed Functionally (chvf), Pharmacologic Substance (phsu), Intellectual Product (inpr), Functional Concept (ftcn), Quantitative Concept (qnco), Functional Concept (ftcn), Biologic Function (biof), Activity (acty), Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Patient or Disabled Group (podg), Health Care Activity (hlca), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Quantitative Concept (qnco), Quantitative Concept "
76179,a3b269b2-6c33-4e5e-8880-5cc8f825f60c,"Table 2","Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)","C0003290, C0002600, C0024778, C0360105, C0074393, C0360105","Pharmacologic Substance (phsu), Organic Chemical (orch), Organic Chemical (orch), Pharmacologic Substance (phsu), Organic Chemical (orch), Pharmacologic Substance (phsu)"
